year,month,date,price_per_m2,change_month,change_quarter,change_year
2025,8,2025-08-01,13.5,0.6,1.2,9.3
2025,7,2025-07-01,13.5,0.3,2.0,10.3
2025,6,2025-06-01,13.4,0.3,4.0,11.2
2025,5,2025-05-01,13.4,1.4,4.9,12.7
2025,4,2025-04-01,13.2,2.2,5.1,
2025,3,2025-03-01,12.9,1.2,3.5,14.5
2025,2,2025-02-01,12.7,1.6,3.4,15.1
2025,1,2025-01-01,12.6,0.7,2.2,14.6
2024,12,2024-12-01,12.5,1.1,1.1,15.2
2024,11,2024-11-01,12.3,0.4,-0.5,14.0
2024,10,2024-10-01,12.3,-0.5,0.6,13.4
2024,9,2024-09-01,12.3,-0.4,2.2,15.4
2024,8,2024-08-01,12.4,1.5,4.3,
2024,7,2024-07-01,12.2,1.2,,16.7
2024,6,2024-06-01,12.1,1.6,7.1,18.0
2024,5,2024-05-01,11.9,,,19.7
2024,4,2024-04-01,,,,
2024,3,2024-03-01,11.3,1.7,4.2,17.6
2024,2,2024-02-01,11.1,1.1,2.5,17.1
2024,1,2024-01-01,11.0,1.3,1.2,17.3
2023,12,2023-12-01,10.8,0.0,1.2,16.8
2023,11,2023-11-01,10.8,-0.1,,18.0
2023,10,2023-10-01,10.8,1.3,3.5,17.8
2023,9,2023-09-01,10.7,,4.5,16.6
2023,8,2023-08-01,,,,
2023,7,2023-07-01,10.5,2.3,7.0,16.8
2023,6,2023-06-01,10.2,3.1,6.7,16.6
2023,5,2023-05-01,9.9,1.4,4.8,16.6
2023,4,2023-04-01,9.8,2.0,4.7,16.5
2023,3,2023-03-01,9.6,1.3,3.5,15.0
2023,2,2023-02-01,9.5,1.3,3.3,14.3
2023,1,2023-01-01,9.3,0.8,1.6,13.9
2022,12,2022-12-01,9.3,1.1,1.0,14.4
2022,11,2022-11-01,9.2,-0.3,0.7,13.3
2022,10,2022-10-01,9.2,0.2,2.6,12.8
2022,9,2022-09-01,9.2,0.7,4.5,12.5
2022,8,2022-08-01,9.1,1.6,7.0,11.8
2022,7,2022-07-01,9.0,2.1,6.7,10.2
2022,6,2022-06-01,8.8,3.1,5.2,8.8
2022,5,2022-05-01,8.5,1.3,2.8,6.0
2022,4,2022-04-01,8.4,0.7,2.4,5.2
2022,3,2022-03-01,8.3,0.7,2.9,4.5
2022,2,2022-02-01,8.3,1.0,2.3,3.6
2022,1,2022-01-01,8.2,1.2,0.6,2.0
2021,12,2021-12-01,8.1,0.1,-0.6,0.1
2021,11,2021-11-01,8.1,-0.7,-0.6,-0.9
2021,10,2021-10-01,8.1,0.0,0.2,-0.4
2021,9,2021-09-01,8.1,0.1,1.1,-0.1
2021,8,2021-08-01,8.1,0.2,1.5,-0.5
2021,7,2021-07-01,8.1,0.8,1.9,-1.6
2021,6,2021-06-01,8.1,0.5,1.1,-3.0
2021,5,2021-05-01,8.0,0.5,0.4,-2.2
2021,4,2021-04-01,8.0,0.1,-0.7,-1.3
2021,3,2021-03-01,8.0,-0.3,-1.4,0.2
2021,2,2021-02-01,8.0,-0.5,-2.1,1.3
2021,1,2021-01-01,8.0,-0.6,-1.8,2.4
2020,12,2020-12-01,8.1,-1.0,-0.9,3.2
2020,11,2020-11-01,8.2,-0.2,-0.2,3.9
2020,10,2020-10-01,8.2,0.3,-1.0,3.0
2020,9,2020-09-01,8.2,-0.3,-1.9,3.0
2020,8,2020-08-01,8.2,-1.0,-0.2,3.6
2020,7,2020-07-01,8.3,-0.6,2.2,5.5
2020,6,2020-06-01,8.3,1.3,4.4,7.5
2020,5,2020-05-01,8.2,1.4,4.0,9.8
2020,4,2020-04-01,8.1,1.6,3.1,9.6
2020,3,2020-03-01,8.0,0.9,1.6,9.2
2020,2,2020-02-01,7.9,0.5,0.3,10.1
2020,1,2020-01-01,7.8,0.1,-1.2,9.5
2019,12,2019-12-01,7.8,-0.3,-1.0,8.1
2019,11,2019-11-01,7.9,-1.0,-0.4,8.0
2019,10,2019-10-01,7.9,0.3,1.5,9.2
2019,9,2019-09-01,7.9,0.3,2.5,10.0
2019,8,2019-08-01,7.9,0.9,5.7,9.6
2019,7,2019-07-01,7.8,1.3,6.1,9.5
2019,6,2019-06-01,7.7,3.4,6.0,9.9
2019,5,2019-05-01,7.5,1.3,4.3,8.5
2019,4,2019-04-01,7.4,1.2,3.0,7.9
2019,3,2019-03-01,7.3,1.8,0.5,8.9
2019,2,2019-02-01,7.2,0.0,-1.6,8.4
2019,1,2019-01-01,7.2,-1.2,-1.5,10.6
2018,12,2018-12-01,7.3,-0.4,0.7,12.7
2018,11,2018-11-01,7.3,0.1,1.0,13.5
2018,10,2018-10-01,7.3,1.0,1.7,13.8
2018,9,2018-09-01,7.2,-0.1,2.4,13.7
2018,8,2018-08-01,7.2,0.8,4.6,14.4
2018,7,2018-07-01,7.1,1.7,4.6,13.9
2018,6,2018-06-01,7.0,2.1,5.0,12.8
2018,5,2018-05-01,6.9,0.7,4.1,13.1
2018,4,2018-04-01,6.8,2.1,5.5,13.8
2018,3,2018-03-01,6.7,1.3,4.0,11.9
2018,2,2018-02-01,6.6,2.0,3.1,10.9
2018,1,2018-01-01,6.5,0.7,1.4,9.4
2017,12,2017-12-01,6.4,0.3,1.7,9.6
2017,11,2017-11-01,6.4,0.4,1.8,8.2
2017,10,2017-10-01,6.4,0.9,1.8,7.3
2017,9,2017-09-01,6.3,0.5,1.6,6.8
2017,8,2017-08-01,6.3,0.4,3.5,6.8
2017,7,2017-07-01,6.3,0.7,4.5,7.9
2017,6,2017-06-01,6.2,2.4,4.2,8.7
2017,5,2017-05-01,6.1,1.4,2.1,7.1
2017,4,2017-04-01,6.0,0.4,1.4,6.8
2017,3,2017-03-01,6.0,0.4,1.9,7.3
2017,2,2017-02-01,6.0,0.7,0.6,8.4
2017,1,2017-01-01,5.9,0.8,-0.5,8.6
2016,12,2016-12-01,5.9,-0.9,-0.9,8.0
2016,11,2016-11-01,5.9,-0.4,0.5,9.7
2016,10,2016-10-01,6.0,0.4,2.4,10.7
2016,9,2016-09-01,5.9,0.5,3.4,10.0
2016,8,2016-08-01,5.9,1.4,3.7,10.3
2016,7,2016-07-01,5.8,1.4,3.4,9.1
2016,6,2016-06-01,5.7,0.9,2.9,8.4
2016,5,2016-05-01,5.7,1.1,3.4,7.8
2016,4,2016-04-01,5.6,0.9,3.1,6.9
2016,3,2016-03-01,5.6,1.4,2.6,6.9
2016,2,2016-02-01,5.5,0.8,1.7,5.8
2016,1,2016-01-01,5.5,0.3,1.4,4.9
2015,12,2015-12-01,5.4,0.5,0.8,4.2
2015,11,2015-11-01,5.4,0.5,1.2,3.0
2015,10,2015-10-01,5.4,-0.2,0.9,2.8
2015,9,2015-09-01,5.4,0.9,1.9,3.1
2015,8,2015-08-01,5.3,0.3,1.4,2.0
2015,7,2015-07-01,5.3,0.7,1.3,2.5
2015,6,2015-06-01,5.3,0.4,1.4,2.4
2015,5,2015-05-01,5.3,0.2,1.4,2.0
2015,4,2015-04-01,5.3,0.8,1.2,1.2
2015,3,2015-03-01,5.2,0.4,0.0,0.6
2015,2,2015-02-01,5.2,0.0,-1.0,0.4
2015,1,2015-01-01,5.2,-0.4,-0.7,0.2
2014,12,2014-12-01,5.2,-0.6,-0.2,0.1
2014,11,2014-11-01,5.2,0.3,0.2,0.2
2014,10,2014-10-01,5.2,0.1,0.7,-0.6
2014,9,2014-09-01,5.2,-0.2,1.2,-1.3
2014,8,2014-08-01,5.2,0.8,1.4,-1.5
2014,7,2014-07-01,5.2,0.6,0.0,-3.1
2014,6,2014-06-01,5.2,0.0,-0.4,-3.8
2014,5,2014-05-01,5.2,-0.6,-0.1,-3.4
2014,4,2014-04-01,5.2,0.2,0.2,-2.6
2014,3,2014-03-01,5.2,0.3,-0.4,-3.7
2014,2,2014-02-01,5.2,-0.2,-1.2,-4.6
2014,1,2014-01-01,5.2,-0.4,-1.5,-4.9
2013,12,2013-12-01,5.2,-0.5,-1.6,-4.5
2013,11,2013-11-01,5.2,-0.5,-1.5,-5.7
2013,10,2013-10-01,5.3,-0.6,-1.8,-5.9
2013,9,2013-09-01,5.3,-0.4,-1.4,-6.1
2013,8,2013-08-01,5.3,-0.8,-0.6,-6.3
2013,7,2013-07-01,5.4,-0.1,0.6,-6.1
2013,6,2013-06-01,5.4,0.4,-0.3,-6.2
2013,5,2013-05-01,5.3,0.3,-1.4,-7.0
2013,4,2013-04-01,5.3,-1.0,-2.2,-7.2
2013,3,2013-03-01,5.4,-0.8,-1.3,-6.3
2013,2,2013-02-01,5.4,-0.5,-2.2,-5.8
2013,1,2013-01-01,5.5,-0.1,-2.5,-5.5
2012,12,2012-12-01,5.5,-1.7,-3.3,-6.0
2012,11,2012-11-01,5.5,-0.8,-2.2,-5.5
2012,10,2012-10-01,5.6,-0.9,-2.1,-4.4
2012,9,2012-09-01,5.6,-0.6,-1.5,-2.7
2012,8,2012-08-01,5.7,-0.6,-1.3,-2.2
2012,7,2012-07-01,5.7,-0.2,-0.6,-1.7
2012,6,2012-06-01,5.7,-0.5,-0.4,-1.5
2012,5,2012-05-01,5.8,0.2,-0.1,0.7
2012,4,2012-04-01,5.7,0.0,-0.4,0.6
2012,3,2012-03-01,5.7,-0.2,-1.0,0.9
2012,2,2012-02-01,5.8,-0.1,-1.9,1.7
2012,1,2012-01-01,5.8,-0.7,-1.4,1.9
2011,12,2011-12-01,5.8,-1.1,0.1,1.6
2011,11,2011-11-01,5.9,0.4,1.2,1.6
2011,10,2011-10-01,5.8,0.8,0.6,1.2
2011,9,2011-09-01,5.8,-0.1,-0.2,0.3
2011,8,2011-08-01,5.8,-0.1,1.7,-0.3
2011,7,2011-07-01,5.8,0.0,1.8,-4.1
2011,6,2011-06-01,5.8,1.8,2.1,-3.9
2011,5,2011-05-01,5.7,0.1,0.8,-7.2
2011,4,2011-04-01,5.7,0.2,0.9,-7.3
2011,3,2011-03-01,5.7,0.5,-0.4,-7.9
2011,2,2011-02-01,5.7,0.1,-2.0,-7.5
2011,1,2011-01-01,5.7,-1.0,-2.1,-7.7
2010,12,2010-12-01,5.7,-1.1,-1.2,-9.1
2010,11,2010-11-01,5.8,0.0,-0.7,-8.8
2010,10,2010-10-01,5.8,-0.1,-4.7,-8.1
2010,9,2010-09-01,5.8,-0.7,-4.4,-9.1
2010,8,2010-08-01,5.8,-3.9,-5.3,-10.4
2010,7,2010-07-01,6.1,0.2,-1.5,-7.4
2010,6,2010-06-01,6.0,-1.7,-2.2,-6.3
2010,5,2010-05-01,6.2,-0.1,0.5,-5.7
2010,4,2010-04-01,6.2,-0.4,0.4,-6.1
2010,3,2010-03-01,6.2,1.0,-1.6,-5.8
2010,2,2010-02-01,6.1,-0.1,-3.4,-9.5
2010,1,2010-01-01,6.1,-2.5,-2.5,-10.7
2009,12,2009-12-01,6.3,-0.8,-1.2,-9.9
2009,11,2009-11-01,6.3,0.8,-2.4,-12.5
2009,10,2009-10-01,6.3,-1.2,-4.0,-13.7
2009,9,2009-09-01,6.4,-2.1,-1.5,-12.1
2009,8,2009-08-01,6.5,-0.8,-0.5,-13.4
2009,7,2009-07-01,6.5,1.4,-0.2,-12.8
2009,6,2009-06-01,6.5,-1.1,-1.7,-17.2
2009,5,2009-05-01,6.5,-0.5,-3.6,-11.7
2009,4,2009-04-01,6.6,-0.1,-4.4,-12.4
2009,3,2009-03-01,6.6,-3.0,-5.8,-13.3
2009,2,2009-02-01,6.8,-1.4,-6.6,-18.0
2009,1,2009-01-01,6.9,-1.6,-5.8,-19.1
2008,12,2008-12-01,7.0,-3.8,-3.7,-20.6
2008,11,2008-11-01,7.2,-0.5,-3.4,-12.0
2008,10,2008-10-01,7.3,0.6,-3.0,-13.2
2008,9,2008-09-01,7.2,-3.5,-7.1,-21.3
2008,8,2008-08-01,7.5,-0.1,1.5,-17.3
2008,7,2008-07-01,7.5,-3.6,0.3,-16.8
2008,6,2008-06-01,7.8,5.4,2.9,-19.4
2008,5,2008-05-01,7.4,-1.3,-10.4,-12.6
2008,4,2008-04-01,7.5,-1.1,-11.8,-11.5
2008,3,2008-03-01,7.6,-8.2,-13.7,-15.1
2008,2,2008-02-01,8.2,-2.8,0.2,-10.7
2008,1,2008-01-01,8.5,-3.3,1.2,-12.0
2007,12,2007-12-01,8.8,6.6,-4.5,-14.4
2007,11,2007-11-01,8.2,-1.8,-9.1,-15.0
2007,10,2007-10-01,8.4,-8.8,-7.0,-15.2
2007,9,2007-09-01,9.2,1.5,-4.8,-7.4
2007,8,2007-08-01,9.1,0.4,7.2,
2007,7,2007-07-01,9.0,-6.6,6.7,
2007,6,2007-06-01,9.7,14.3,8.3,
2007,5,2007-05-01,8.5,0.0,-8.5,
2007,4,2007-04-01,8.5,-5.2,-12.2,
2007,3,2007-03-01,8.9,-3.5,-13.0,
2007,2,2007-02-01,9.2,-4.1,-4.7,
2007,1,2007-01-01,9.6,-6.0,-2.6,
2006,12,2006-12-01,10.3,5.7,3.3,
2006,11,2006-11-01,9.7,-2.0,,
2006,10,2006-10-01,9.9,-0.3,,
